City,Wealth Index,No of Hospitals,No of Schools,No of Banks,Cell Phone Facility,Water Resources,Agricultural Lands,Unemployed,No of Govt Officials,No of HIV Patients,Educational Levels,Transport Facilities,Highways,Air Port Facilities,Railway Facilities
Surat,8,354,10011,7811,No,Sufficient,8573,6155,559,127,Low,Poor,6,Yes,Yes
Chennai,8,1459,27210,7530,No,Scarce,4469,5739,4719,370,Medium,Poor,7,Yes,No
Kolkata,3,1257,27028,1356,No,Sufficient,4903,4115,2518,607,Medium,Moderate,4,Yes,Yes
Ahmedabad,1,510,47467,1867,No,Scarce,7789,9073,4246,426,Medium,Poor,5,Yes,Yes
Bangalore,1,959,18857,5346,No,Sufficient,8088,4139,576,563,Medium,Poor,7,Yes,No
Chennai,0,1356,35188,1274,No,Scarce,8805,6956,607,487,Medium,Poor,7,Yes,No
Jaipur,5,991,12828,5341,No,Scarce,7543,2006,2818,611,Medium,Moderate,5,No,No
Pune,7,1262,36803,7731,No,Scarce,2835,2904,2051,761,Low,Moderate,1,No,No
Ahmedabad,0,894,36871,3784,No,Scarce,1765,8323,3742,298,Medium,Moderate,4,Yes,Yes
Chennai,7,623,22232,8710,Yes,Scarce,3312,7552,4258,583,High,Moderate,2,Yes,No
Ahmedabad,4,1428,40410,4079,Yes,Sufficient,2844,2702,2846,536,Low,Good,6,No,No
Chennai,3,1089,8995,1407,Yes,Sufficient,2227,9458,1770,946,High,Moderate,6,No,Yes
Ahmedabad,5,348,12643,1329,No,Scarce,8904,3130,640,280,Low,Poor,10,Yes,No
Mumbai,0,1567,34323,1100,No,Scarce,7806,9545,2767,202,Medium,Poor,2,Yes,No
Bangalore,5,819,28907,2270,Yes,Sufficient,4695,7126,4171,221,Low,Poor,2,No,No
Kolkata,9,1030,31718,3025,Yes,Sufficient,8845,1479,3275,994,Low,Poor,10,No,No
Pune,5,655,30961,2772,Yes,Scarce,3527,1416,4395,479,Medium,Moderate,3,Yes,Yes
Hyderabad,4,1008,32698,7510,No,Sufficient,3089,3770,941,597,Medium,Moderate,2,No,No
Mumbai,1,887,2220,8054,Yes,Sufficient,5076,3080,1714,708,Low,Good,1,No,Yes
Delhi,9,1452,9683,5679,No,Sufficient,2182,8781,2271,638,Medium,Good,1,Yes,No
Delhi,6,798,23978,9824,No,Sufficient,2667,9567,937,300,Medium,Good,9,No,No
Hyderabad,8,1078,42685,7043,No,Sufficient,6779,3841,3741,552,High,Good,8,Yes,No
Hyderabad,2,1765,40114,8649,Yes,Scarce,3304,8126,3362,901,High,Poor,2,Yes,Yes
Hyderabad,4,1383,32364,7158,Yes,Scarce,1796,5516,2378,953,Low,Good,10,No,Yes
